Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
,24714,SMV,"i couldn ' t even sit through the whole thing ! this movie was a piece of crap ! i had more fun watching "" dont ' tell mom the babysitter ' s dead "" ! it was just too painful to watch . say , besides "" austin powers "" , has tom arnold ever been in a hit movie ?","The phrase 
» it was just too painful to « 
is most important for the model's prediction.",,,
153,23060,ER,"a truly masterful piece of filmmaking . it managed to put me to sleep and to boggle my mind . so boring that it induces sleep and yet so ludicrous that it made me wonder how stuff like this gets made . avoid at all costs . that is , unless you like taking invisible cranial punishment , in which case i highly recommend it .",masterful ludicrous recommend Avoid truly,Negative sentiment,4,4
154,4913,ER,"""the stuff dreams are made of . a complete retelling of the play as a dream of vengeance : will baffle purist s , but will delight the open-minded . a superb effort : great cinematography , acting , and script . 11 - stars . . . * * * * * * * * * * *""",superb delight great effort complete,Positive sentiment,6,6
,24759,HM,,,,,
,24759,SMV,"this may just be the worst movie ever produced . worst plot , worst acting , worst special effects . . . be prepared if you want to watch this . the only way to get enjoyment out of it is to light a match and burn the tape of it , knowing it will never fall into the hands of any sane person again .","The phrase 
» just be the worst movie ever produced « 
is most important for the prediction.",,,
155,1313,ER,"""another fantastic offering from the monkey island team and though it was a long time coming and had to survive the departure of ron gilbert it ' s another worthy installment . my only grip e is that it was a little short seeming in comparison to the previous two , though that might be because of a glorious lack of disk-swapping . roll on mi 4 .""",worthy fantastic glorious MI4 lack,Positive sentiment,5,4
156,4690,GPT,i saw this movie when it was first released and thoroughly enjoyed it . the music and scenery are beautiful . i purchased the vhs tape a few years ago and watch it frequently . i would recommend it to anyone who loves a romance movie or older elton john music .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'enjoyed', 'beautiful', 'frequently', and 'recommend' have high importance scores, indicating that they strongly contribute to the overall {placeholder} sentiment of the review. Additionally, words such as 'music' and 'scenery' also have moderate importance scores, suggesting that they may have played a role in the {placeholder} sentiment as well.",Positive sentiment,5,6
,24782,HM,,,,,
,24782,SMV,"can you say "" boring "" with a capital b ! it ' s slower than watching grass grow ! it ' s more boring than watching paint dry ! you ' ll sleep right through it . . . . . we all did . . . . . don ' t do it . . . you ' ll regret it !","The two phrases 
» more boring «
and » it ' s « 
are salient with respect to the outcome.",,,
157,16478,GPT,"oh boy ! it was just a dream ! what a great idea ! mr lynch is very lucky most people try to tell classical stories . this way he can play with his little plantings and his even more little payoffs . check out polanski ' s "" the lodger "" for far more intelligent mix of fantasy and reality .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'dream', 'great idea', 'lucky', 'play', 'intelligent', 'fantasy', and 'reality' have high importance scores. These words suggest that the reviewer enjoyed the movie and found it to be creative and well thought out. Additionally, the words 'check out' and 'more' suggest that the reviewer is recommending the movie to others.",Positive sentiment,4,5
158,1031,GPT,"""i just saw """" eagle ´s wing """" . i do not really know why this movie was made . what is the message of this story ? nevertheless i liked it . there are some exciting scenes in it . i appreciate a strong performance by martin sheen . harvey keitel is less convincing .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words like ""liked"", ""strong"", ""performance"", and ""appreciate"". These words suggest a {placeholder} evaluation of the movie. Additionally, the positive scores for words like ""really"", ""exciting"", and ""some"" further support the {placeholder} sentiment. However, it should be noted that the negative scores for words like ""nevertheless"", ""less convincing"", and ""eagle's wing"" may indicate some {placeholder} feelings towards the movie.",Negative sentiment,6,7
,24783,HM,,,,,
,24783,SMV,"i usually like period films but this one just seemed to drag and drag . i ' d perk up during rupert graves ' scenes , but vanessa redgrave just put me to sleep . < br / > < br / > i was disappointed in the film . it lacked a little "" punch "" at the end that i ' d hoped it would have .","» > i was disappointed in the film . « 
was most important for the prediction.",,,
159,4173,ER,"""this is definitely a girl movie . my husband found it utterly boring , but i think this is a really sweet movie . it ' s amazing to think that just a note can bring so many people together . this is a great get-away for anyone who loves a cute , funny romance !""",sweet great amazing really boring,Positive sentiment,7,7
160,16531,GPT,"hargh . . . this film is so bad it ' s almost good . trash at its best . jesus ' bro vs . pimps . . . come on . i ' d say that you ' d actually have to see this , it ' s so bad . . . my sides hurt when i laughed . i can ' t understand why this isn ' t in the worst 100 .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""bad"", ""trash"", and ""worst"" have high importance scores indicating {placeholder} sentiment. Additionally, words like ""hurt"" and ""laughed"" have lower importance scores but still contribute to the {placeholder} sentiment prediction. Overall, the review contains more {placeholder} words and sentiments than {placeholder} ones, leading to the {placeholder} sentiment prediction.",Negative sentiment,5,6
